number of triangles,voxel grid dimension,multiple rays,triangle prescreening,time,
960,16,true,true,0.361909,
960,16,true,false,8.28712,
960,16,false,true,0.06927,
960,16,false,false,1.36539,
960,32,true,true,2.77681,
960,32,true,false,67.8514,
960,32,false,true,0.761678,
960,32,false,false,11.1623,
960,64,true,true,22.6997,
960,64,true,false,552.12,
960,64,false,true,4.08439,
960,64,false,false,90.3455,
2464,16,true,true,0.78821,
2464,16,true,false,21.9047,
2464,16,false,true,0.167726,
2464,16,false,false,3.62938,
2464,32,true,true,6.34586,
2464,32,true,false,177.987,
2464,32,false,true,1.16817,
2464,32,false,false,28.7311,
2464,64,true,true,50.3056,
2464,64,true,false,1422.35,
2464,64,false,true,8.83839,
2464,64,false,false,230.49,
3192,16,true,true,1.03653,
3192,16,true,false,28.0378,
3192,16,false,true,0.206466,
3192,16,false,false,4.48359,
3192,32,true,true,7.77758,
3192,32,true,false,225.667,
3192,32,false,true,1.5077,
3192,32,false,false,37.5233,
3192,64,true,true,64.4413,
3192,64,true,false,1796.33,
3192,64,false,true,11.6745,
3192,64,false,false,293.434,
